kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
8018547,,83.92494032,236.76334,6.7904,CANDIDATE,7958.7,0.2829333333333333
8039892,Kepler-719 b,5.007316661,173.433997,4.2362,CONFIRMED,6932.3,0.17650833333333335
8150320,Kepler-55 d,2.211116989,170.150139,1.6485,CONFIRMED,724.2,0.0686875
8150320,Kepler-55 b,27.9541337,178.73791,3.95,CONFIRMED,942.5,0.16458333333333333
11086270,Kepler-110 b,12.69104387,137.12594,3.7727,CONFIRMED,252.1,0.15719583333333334
7767559,,4.409409243,171.89433,3.8636,FALSE POSITIVE,12861.0,0.16098333333333334
7825899,Kepler-248 c,16.23947096,175.569907,4.0374,CONFIRMED,2590.7,0.16822499999999999
7825899,Kepler-248 b,6.308201629,174.047661,2.9785,CONFIRMED,1328.5,0.12410416666666667
7849854,Kepler-718 b,2.052349884,169.890622,2.0778,CONFIRMED,14280.6,0.086575
7870390,Kepler-83 b,9.7704486,175.71372,2.4517,CONFIRMED,1897.8,0.10215416666666667
7870390,Kepler-83 d,5.169804269,172.63153,2.153,CONFIRMED,1037.4,0.08970833333333333
5094751,Kepler-109 c,21.22261195,137.57403,6.5093,CONFIRMED,366.0,0.2712208333333333
7870390,Kepler-83 c,20.09017037,147.97788,4.154,CONFIRMED,1432.1,0.17308333333333334
7907423,Kepler-249 c,7.11373257,174.32351,2.1764,CONFIRMED,807.6,0.09068333333333334
7907423,Kepler-249 b,3.306551643,134.37211,1.8177,CONFIRMED,509.2,0.0757375
7907423,Kepler-249 d,15.36845737,147.38965,2.4714,CONFIRMED,756.1,0.102975
7938496,Kepler-1730 b,13.81020318,172.33533,3.048,CONFIRMED,1309.7,0.127
8490993,Kepler-722 b,4.093578461,171.00954,2.5833,CONFIRMED,538.6,0.1076375
8490993,Kepler-722 c,105.145959,178.367,8.593,CONFIRMED,685.4,0.35804166666666665
8505670,Kepler-252 c,10.8484518,171.80584,2.9993,CONFIRMED,1675.6,0.12497083333333332
8505670,Kepler-252 b,6.66833241,137.43988,1.915,CONFIRMED,362.3,0.07979166666666666
